area_detail,ward_name
"a to c main, basappa garden, pipeline",unknown
"1st cross to 5th cross, kumarapark west",unknown
"v.v.giri colony, j.c.w. nagar, sheshadripuram",vishweshrapuram
"loop road, east link road, west link road, malleshwaram",unknown
"'j' block, pipeline, anjanyaneya block (upper & lower)",unknown
"1st to 4th cross, n.s.iyengar street, sheshadripuram",unknown
"girl's school street & govindarao street, sheshadripuram",unknown
"southpark road & northpark road, sheshadripuram",unknown
lakshmanarao slum area (belongs to basyam park s/stn.),unknown
"r.v.layout, v.s.raju road, sankey road, k.p.west",unknown
"central street, kempanna block, kumarapark west",unknown
"1st to 4th cross, annayappa block",unknown
"5th to 10th cross, kumarapark west",unknown
"serpentine road, railway parallel road, k.p.west",unknown
"shopping street, subbaiah layout, k.p.west",unknown
"1st main road, sheshadripuram",vishweshrapuram
"d.n.ramaiah layout, sheshadripuram",vishweshrapuram
