Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
927,,,Srinivasanagar,,7.00 AM
928,,,Madhuramma Layout,,7.00 AM
929,,,Maruthi Markandeshwara Layout,,7.00 AM
930,,,"PNT Layout, MRS Layout",,7.00 AM
931,,,Rudreshwari Nagara,,7.00 AM
932,,,Sollapuradamma Layout,,7.00 AM
933,AEENW-3,HEGGANAHALLI,Hoysala nagar,Alternate ,6.00 AM 
934,,,Sanjeevininagar,Weekly Twice ,6.00 AM 
935,,,"1st Stage , 2nd Stage",Alternate ,7.00 AM 
936,,,Hegganahalli Gajanan nagar,,7.00 AM 
937,,,Hegganahalli Old Village ,,7.00 AM 
938,,,Freends Colony ,,7.00 AM 
939,,,Maruthi nagar,,7.00 AM 
940,,,Mayurnagar ,,7.00 AM 
941,,,Shivanadh nagar,,7.00 AM 
942,,,Muneshwaranagara,,7.00 AM 
943,,,Lakshman nagar,,7.00 AM 
944,,,Srigandha nagar,,7.00 AM 
945,,,Gajanana nagar,,7.00 AM 
946,,,Vigneshwar nagar,,7.00 AM 
947,,,Bus stop near,,7.00 AM 
948,s-1,POORNA PRAGNA LAYOUT,Main valve at SHANI MAHATMA TEMPLE,ALTERNATIVE,2 PM TO 10 PM 
949,,,"Ramamjaneya Nagar, Naidu Layout",,2 PM TO 5 PM 
950,,,Sarvabhouma Nagar,,5 PM TO 8 PM 
951,,,"Dodda Gowdanapalya, 8th cross, Durgamma Temple, 10th cross, Kempanna layout. ",,2 PM TO 1 PM 
952,,,"Srinivasa Tent Road, Slum, Chikka gowdanapalya, Ganesha Temple. ",,5 PM TO 10 PM 
953,,,Main valve at SHANI MAHATMA TEMPLE,,10 PM 
954,,,"a. Manjunatha Nagar b. Ankappa Layout 
c. Behind Shanthi Sagar",,10 PM TO 1 PM 
955,,,Udaya Nagar 1st & 2nd cross,,10.30 PM TO 8 PM 
956,,,"a. Bharath housing b. KSRTC Layout 
c. Canara bank colony ",,1 AM TO 9 AM 
957,,,a. Balaji Nagar b. Shimhadri layout,,9 AM  TO 1 PM 
958,,,NEAR UTTARAHALLI LAKE,,5 AM
959,,,a. PP Layout,,4.30 AM TO 10.30 AM
960,,,Happy valley /5th Stage BDA,,5 AM TO 10 AM 
961,,,AGS layout ,,5 AM TO 12 NOON
962,,,Sapthagiri layout ,,4.30 AM TO 9 NOON
963,,,a. Uttarahalli village b. Vinayaka layout c. Narasamma layout d. Appaiah swamy layout,,6.00 AM TO 9 AM 
964,,ISRO LAYOUT,Main valve at KANAKAPURA ROAD,,
965,,,NANJAPPA LAYOUT,,6 PM TO 8 PM 
966,,," J C INDUSTRIAL AREA, BIKASIPURA",,8 PM TO 9.30 PM 
967,,,KONANKUNTE CROSS,,7 AM TO 9.30 PM 
968,,, NAIDU LAYOUT,,7 AM TO 9.30 PM 
969,,,KENARABANK ROAD ,,6.30 PM TO 9.30 PM 
970,,,DESAI GARDEN ,,6.30 PM TO 9.30 PM 
971,,,MANTHRI TRUKLE,,6.00 AM  TO 9.30 PM 
972,,,Main valve at KARTHIK BAR,,
973,,,KARTHIK BAR,,9.30 AM TO 4 PM 
974,,,KANAKANAGARA,,9.30 AM TO 4 PM 
975,,,SPOORTHI NAGAR ,,9.30 AM TO 4 PM 
976,,,MANJUNATH NAGAR ,,9.30 AM TO 4 PM 
977,,,Main valve at CHAMUNDI BAR,,
978,,,KASHI NAGAR,,11 AM TO 2 PM 
979,,,Main valve at KANAKAPURA ROAD,,
980,,,,,12.30 PM TO 2 PM 
981,,,Main valve at RC CENTRE,,
982,,,ILIYAZ NAGAR,,9.30 AM TO 7 PM 
983,,,RAYAKRISHNA NAGAR MUNIYAPPA ,,7 PM TO 7 AM 
984,,,"4 A, B & C ILIYAZNAGAR 9TH CROSS ",,8 AM TO 10 PM 
985,,Banashankari 1 & 2,"1) JHBCS LAYOUT
2) BENDRE NAGAR 1ST CROSS TO 
     9TH CROSS. ",,2.00 PM TO 6.00 PM 
986,,,"
1) ESHWARI NAGAR & 3RD CROSS 
    SLUM 
",,4.00 PM TO 10.00 PM  
987,,,"1) KADIRENAHALLI UNDER PASS 
    100 RING ROAD 
2) MAHADESHWARA THEATER
3) SAPALAMMA TEMPLE
4) JANATHA COLONY UP TO 5TH 
    MAIN 
",,4.00 PM TO 10.00 PM 
988,,,"1) KADIRENAHALLI GOVT 
    SCHOOL, MARAMMA TEMPLE 
    ROAD 6TH CROSS TO 10TH 
    CROSS",,4.00 PM TO 10.00 PM 
989,,,"1) MEENAJ NAGAR
2) BENDRE NAGAR 10TH CROSS TO 
     15TH CROSS. ",,6.00 PM TO 10.00 AM 
990,,,1) KANAKA LAYOUT,,6.00 PM TO 10.00 AM 
991,,,"1) KADIRENAHALLI SHRI SHAILA 
    SCHOOL ROAD. 5TH CROSS TO 
    7TH CROSS  & KADIRENAHALLI 
    VILLAGE  
",,7.00 PM TO 3.00 AM
992,,,"1) R K LAYOUT 2ND STAGE, 
    PADMANABHA NAGAR 80"" 
    ROAD 
",,"6.00 PM TO 3.00 AM
"
993,,,"1) SARRABANDE PALYA,
    HARI COLONY UMARBAGH L/O 
    VIVEKANANDA COLONY 
",,3.00 AM TO 12.00 PM 
994,s-2,Kothnur Dinne & Jamboosavari Dinne,New Bank colony 1 to 5th cross,Alternate Wednesday & Saturday,10:00AM to 8:00PM
995,,,"Old Bank colony 1st to 7th cross, Chunchaghatta main road, Sai mandira temple road, Surabhi hotel back side, A.K.Colony, Rajanandhini Hospital Road,","Once in Four days (Alternate Sun, Wed & Sat)",8:00AM to 8:00PM
996,,,"Eshwar Layout, Yadavafarm, banasankari steel road, Chunchaghatta main road, Govt School back side.","Once in Four days (Alternate Tue, Fri & Monday)",8:00AM to 12:30PM
997,,,"Ganapathipura, 1to 13th cross, Sharadha nagara, JSS School back side, Shivashakthi nagara, Suprajanagara, Renukambha nagara","Once in Four days (Alternate Tue, Fri & Monday)",12:30PM to 6:00 PM
998,,,"Bheereshwara nagara, 1 to 8th cross, Karmal jyothi school road, National public school road","Once in Four days (Alternate Tue, Fri & Monday)",6:00 pm to 9:00PM
999,,,"RBI layout, Lakshminagara 1to 7th main, Gururaghavendra layout, Gourava nagara, Navodaya nagara, Shreyas colony, Maruthi nagara, Annapurneeshwari layout",Alternate days ,10:00PM to 8:00AM
1000,,,"Pailayout, Pushpak farm 1 to 5th cross, 1 to 7th cross","Alternate days (Sat, Wednesday)",8:00PM to 8:00AM
1001,,,"Narayanappa layout, old post office road.","Alternate days (Tuesday, Friday)",8:00AM to 8:00PM
1002,,,"Anjanadrilayout, Jayakumar layout, ","Alternate days (Monday, Thursday)",6:00AM to 4:00PM
1003,,,"Soudamini Layout, ","Alternate days (Tuesday, Friday)",8:00PM to 6:00PM
1004,,,"Annapurneshwari layout, Telephone exchage road","Alternate days (Wednesday, Saturday)",6:00AM to 6:00PM
1005,,,"PNB Nagara, Doctors Layout",Every Wednesday,"1:00PM to 6:00PM,"
1006,,,,Every Saturday,6:00 PM to 6:00AM
1007,,,"Narayananagara, Block 1 ","Every Monday, Thursday ",7:00AM to 11:30AM
1008,,,"Narayananagara Block 3 & MKS layout, 5th A Block",Every Monday & Thursday,10:30AM to 2:00PM
1009,,,Narayananagara Block 2 ,Every Monday & Thursday,2:30PM to 5:30PM
1010,,,"Sommanna layout ,Vasantha Vallabha Nagra, Kothnur Village ,churchroad 1 to 5 th cross Roads",Monday & Thursday,10:00PM to 6:00AM
1011,,,"Manjunatha Layout ,Krishanangara,Maramma Temple Sorroundings ,A.K Colony ,Ganesha temple sorroundings along Kothnur Main Road",Monday & Thursday,7:00AM to 8:00PM
1012,,,"Hari Nagara ,Ramya Bar Sorroundings,Subbanna Layout ,TCH collage Road Sorroundings ,Acharappa Layout ,Urdu School Road Sorroundings & 1st block, Shanrathi nagara 8th Phase ",Every Mondy & Thursday,6:00PM to 6:00AM
1013,,,"Ramamandira Temple sorroundings ,Vasavi Road, ENNAR School sorroundings ,Aditya Nagara,K.C.A Lyout ,N.R School OPP Road",Every Mondy & Thursday,6:00PM to 6:00AM
1014,,,"Srinidhi L/o 5th main, Shanmarg Scool Road ,Srinidhi Layout 8th main Srinidhi Layout 1st to 10th cross ,SBM Layout 1st to 3rd cross,5th main 1st main 1st to 15th cross,Raghavendra temple Road,",Every Tuesday & Friday,5:30PM to 6:00AM
1015,,,"Maruthi Nagara 1st to 7th cross, Krishna Nagara 1to 7th cross, Sharanya School Road 1st to 5rd cross, K.C.A Layout 1st to 4th cross.",Wednesday & Saturday,9:00PM to 6:00AM
1016,,,"Anjanapura BDA layout, 1st block, 2nd block, 3rd block & 4th block,",Wednesday & Saturday,8:00AM to 2:00PM
1017,,,"BDA Avalahalli 9th phase, 2nd block & 3rd block, ",Tuesday & Friday,8:30AM to 2:00PM
1018,,,"H.M Worldcity road & J.P.Nagara 9th phase , 7th, 7th A block, ",Every Wednesday & Saturday,9:00AM to 12:00PM
1019,,,"T.K.Deepak Layout & J P Nagara 8th phase, 2nd block Near Chaithanya School, ",Every Wednesday & Saturday,11:00AM to 6:00PM
1020,,,"Life style Apartment & J.P.Nagara 8th phase 2nd block, 1st A Block,",Every Tuesday & Friday,8:00AM to 3:00PM
1021,,,"Kothnur Village, Kothnur Dinne, Kateramma layout, Church road, Somanna layout, ",Every Sunday & Wednesday,6:00PM to 6:00AM
1022,,,"Surabhi Nagara, Jamboonagara, Jamboosavari Dinne, BGs layout, Nayak Layout, Pavamananagara, Gayathri Thapovana & Rajathadri layout",Every Tuesday & Friday,5:30PM to 5:30AM
1023,,J.P.Nagar-2,"Nataraj Layout, Wilson garden, Brigade apartment, Santrupti Nagar, Sankranti Layout, Nrupatunga Nagar, Gautam Layout, Sancity Layout,",Alternate Day,10:00PM to 8:00AM
1024,,,"Lakshmi Layout, Puttenahalli, Bob colony, Achappa Layout, Jagrathi colony, Manjunatha Layout",Sunday & Wednesday,12:00PM to 11:00PM
1025,,,"Vinayaka Nagar, Rose garden Road, Guna sheela Layout, Paradise colony, Ramaiaha garden",Monday & Thursday,12:00PM to 11:00PM
1026,,,"Doreswami playa, Venkatadri Layout, Panduranga Nagar, K.R. Layout 1st and 2nd stage, Omkar Nagar, Govinda Reddy Layout, S.R.Compound, Brindavan Layout, Nanjappa Layout, Vijayshree Layout, Thimmappa Reddy Layout, SBI colony, Ramaiaha city, Sai enclave, Aradhana Layout, Raghavendra Layout, South city apartment, Mantri apartment, Classic orchid, BDA Layout, 1st Stage and 2nd stage",Alternate Day,9:00PM to 6:00AM
1027,,,"Classic Orchid, BDA Layout, 1st stage and 2nd stage",Sunday & Thrusday,6:00AM†to 1:00PM
1028,,,"Ayodhya Nagar, S.M.S Layout, Nanjundeshwara Layout, ",Tuesday & Friday,7:00PM to 11.00PM
1029,,,"Astalakshmi Layout,  Dorabangala Road, Abhaya Reddy Layout, Annaiah Reddy Layout Inchara hotel backside",,4:00PM to 7.00PM
1030,,,"Sarakki Garden, K.R Layout,",,12.00PM†to 4.00PM
1031,,,J.P.Nagar 6th phase,Alternate Day,12.00PM†to 7.00AM
1032,,,J.P.Nagar 5th phase,,12.00PM†to 7.00AM
1033,,,"Jaraganahalli, Jyothi Layout, Chunchagatta main road, Chikkawami Layout, Srinivasa Kalyana Mantapa road, Gundamma Layout, Basavaraja Layout, Rajiv Gandhi Road, Muni sanjappa Layout, Rosh Garden,",,4:00PM†to 10.00PM
1034,,,"Mantri elite apartment, KFC, Dollars layout",,10:00AM†to 6:00PM
1035,,Vijaya Bank Layout,"Nayanapanahalli, Bandepalya,Suguma L/o,Canara Bank colony, Avanisringeri Nagar, Saraswathi puram",Sunday,6:00AM to 12.00PM
1036,,,"Raghavendra L/o,Kempamma L/o,Pai L/o, Dodamma L/o, Janatha colony, Temple Street, Muneshwara L/o,Bhaghavathi L/o",,12:00PM to 6:00PM
1037,,,"Mutharaya Swamy L/o, Krishna L/o, Hulimavu, Someshwara L/o, Shanthinektan L/o,Vyshya Bank C/o,RR Layout, BDA L/o,5th Stage, BDA L/o 8th Stage",,6:00PM to 12:00PM
1038,,,"Nanjappa L/o, Singh L/o, Nathyppa L/o, Chamundeshwari L/o,Jai Hanuman Nagar, BTS L/o,Yellappa Reddy L/o, Priyadarshni C/o, Smarat L/o,Ramaswamy L/o,Arakere Main Road,Gopal Reddy L/o, Chamundehwari Nagar",,12:00PM to 6:00AM
1039,,,"Nayanappanahalli, Bande Palya, Sujuma L/o,Canara Bank Colony, Avani Sringeri Nagar, Saraswathipuram",Wedneday,6:00AM to 12:00PM
1040,,,"Raghavendra L/o,Kempamma L/o,Pai L/o, Dodamma L/o, Janatha colony, Temple Street, Muneshwara L/o,Bhaghavathi L/o",,12:00PM to 6:00PM
1041,,,"Mutharaya Swamy L/o, Krishna L/o, Hulimavu, Someshwara L/o, Shanthinektan L/o,Vyshya Bank C/o,RR Layout, BDA L/o,5th Stage, BDA L/o 8th Stage",,6:00PM to 12:00PM
1042,,,"Muthuraya Swamy L/o, Krishna L/o, Hulimavu, Someshwara L/o,Shanthinekthan L/o, Vyasya Bank C/o, RR L/o, BDA L/o,6th Stage, BDA L/o 8th Stage",,12:00AM to 6:00AM
1043,,,"Vijaya Bank L/o, Billekahalli Village",Thursday,6:00AM to 12:00PM
1044,,,"Gangamma L/o, SBI Colony, Anugraha L/o, Duo Enclave, BDA L/o, 1st Stage, Raghavendra C/o, Thanamma L/o, Rajanna L/o, Gandhi L/o, Kattappa Garden",,12:00PM to 6.00PM
1045,,,"BDA L/o,2nd Stage, Manjunatha L/o, Someshwara L/o,Thyappa Garden, Ramana Shree Enclave",,6:00PM to 12:00AM
1046,,,"BDA L/o,2nd Stage, Manjunatha L/o, Someshwara L/o,Thyappa Garden, Ramana Shree Enclave",,6:00PM to 12.00AM
1047,,,"Anugraha L/o, Guru Raja L/o, Rajanna L/o, KCH Main Road, Devarachikkanahalli Main Road,Anugraha L/o Phase-II, Vijaya Bank L/o",,12:00AM to 6.00AM
1048,,,"VijayaBank L/o,SBI L/o,Anugraha L/o,Phase-II,BDA L/o, 1st Stage,2nd Stage,Manjunatha L/o, Sarabhoma Nagar, Raghavendra C/o, Raghavendra C/o, Duo enclave, Thanamma L/o, Gandhi L/o,Shanboagh l/o",,6:00AM to 12.00PM
1049,,,"Rotary Nagar, Sathya Sai L/o, SBI L/o, Supreme Residency, Lake City, KCH Village, Nodamma L/o, Kumba Lake City, Vijayashree L/o, Vakil Marina L/o, Abhaya L/o",,10:00AM to 10:00PM
1050,,,"VijayaBank L/o,SBI L/o,Anugraha L/o,Phase-II,BDA L/o, 1st Stage,2nd Stage,Manjunatha L/o, Sarabhoma Nagar, Raghavendra C/o, Raghavendra C/o, Duo enclave, Thanamma L/o, Gandhi L/o,Shanboagh l/o",Saturday,12:00AM to 6:00PM
1051,,,"Rotary Nagar, Sathya Sai L/o, SBI L/o, Supreme Residency, Lake City, KCH Village, Nodamma L/o, Kumba Lake City, Vijayashree L/o, Vakil Marina L/o, Abhaya L/o",,10:00AM to 10:00PM
1052,S3,BTM 2,"N S Palya 
Abhayappa Layout 
Dollars Layout 
P M Kalyana Mantapa",Alternate Day,"6.am To 02.pm
2.pm To 12.am
12.am TO 6 pm"
1053,,,KAS Colony 42nd main[silk Bord] & Hosur Road main road TO 32nd Main Someshwara Colony ,,5.am To 10.am
1054,,,31st main tank Bund Road TO 29th main 4th C cross TO 13th cross ,,"06.am To 11.am
Gravity  & Pumping "
1055,,,EWS Colony 6th cross To 14th cross Down ,,10.am To 02.pm
1056,,,"Gundurayappa Layout 16th main,19th cross To 23rd cross ",,"06.am To 11.am
Gravity  & Pumping "
1057,,,"Nanjappa Layout 
31st main To 29th main 1st cross to 4th B cross ",,11.am To 4.pm
1058,,,EWS Colony 6th cross To 14th cross Up,,02.Pm To 06.pm
1059,,,Madeena Nagar  16th main ,,11.am To 05.pm
1060,,,"29th main road
28th main road
27th Main Road
To 6th cross ",,04.pm To 12.pm
1061,,,"Udupi Garden 
26th main ,25th main,24th main 2nd cross & 4th cross ",,04.pm to 08.pm
1062,,,"Udupi Garden 
23rd main, 22nd main &2nd cross to 3rd cross ",,08.pm to 12.am
1063,,,Kuvempu Park 21st main To 15th main kuvempu Park,,12.am to 06.am
1064,,,1st main To 3rd main BDA flats & mico Layout ,,06.pm To .1.am
1065,,,3rd main To 6th main Vysya Bank ,,01.am TO 06.am
1066,S4,BOMMANAHALLI SERVICE STATION ,"DevarachikkanaHalli ; Krishna  Layout ; Royal Shelters ; Duo Heights Layout, Karim Darbar Road - 1st cross, Virat Nagar, Bommana Halli A.K.Colony, 13th Main, 8th Cross, Virat Nagar (ICICI Bank ATM ) down stream, Karim Darbar Road - 2nd cross , Virat Nagar.",  1ST DAY (MONDAY)  &  5TH DAY (FRIDAY),06:00 am to 11:00 pm
1067,,,"Rice Gowdown Street, Shama Medicals Road, , Virat Nagar, Masjid Road, Virat Nagar, Nagappa Road, 11th Cross, N.R. Layout, Ghousia Masjid Road, Bommana Halli, Virat Nagar- BHCS Layout, Vajrappa Layout, BMS Road, Virat Nagar, Kaveri Nagar Down stream & Kodichikkana Halli Main road",,11:00 pm to 04:00 pm
1068,,,"Bhanu Nursing Home Road, Bommana Halli, 15th, 16th, & 17th Cross, N.R.Layout, (Near Burrial Ground- Down stream), Anna Poorneshwari Temple- Down stream, Roopena Agrahara Village, Channappa Reddy Layout, Sarayi Angadi Road, Babu Reddy Layout,  Muslim Burrial Ground",,04:00 pm to 09:00 pm
1069,,,"Masjid Road- Behind  Anna Poorneshwari Temple, Presidency School Road, 15th, 16th, & 17th Cross, N.R.Layout, (Near Burrial Ground- Up stream), Near Narasimha Swamy Temple, Roopena agrahara, Gulbarga Colony, Chinnathayappa Layout, Kaveri Nagar Masjid road & Upstream, Balekayi Mandi Road, Arya Apartment Road, Behind BBMP office, 6th cross, Virat Nagar, Nadamma Layout",,09:00 pm to 02:00 am
1070,,,"11th & 12th Cross, Virat Nagar, Roopena Agrahara Dinne, Muneshwara Temple Road, Mahantha Hospital Road, Muneshwara Layout.",,02:00 am to 06:00 am
1071,SE1,Ulsoor,"M.G.Road, Dickenson Road, Hanumanthappa Layout, Aga Abbas Ali Road, M.G.Road Left side Like Prime Rose Road, Brunton Cross Road, Craig park layout.",Alternate Days,5AM to 1 PM            ( Pumping Supply)
1072,,Ulsoor,"Ulsoor Road, Haddin Road, Gangadhara Chetty Road, Yellappa Chitty Road, Ulsoor Cross Roads.",,5AM to 12PM (Gravity Supply)
1073,,Ulsoor,"Gouthampura 4th Cross, 2nd Main, Artilary Road, 1st, 2nd and 3rd cross, Jeevankendra Layout, Nandavam .B. Street, Jogupalya 5th, 6th and 7th cross.",,8AM to 5PM  (Gravity Supply)
1074,,Ulsoor,"Bazaar Street, Car Street, R.K.Mutt Road, Lakshamiah Reddy Road, Damodhar Road, Doddakattappa Road, Cambridge layout 1st to 7th Cross, 1st A. Main, Shammanna Gowda Layout, Sarsawathipura 2nd 3rd and 4th cross, Main Channel Road, Lingayyanapalya, Marappa Road, Muniswamappa Road, G.No 8th Street and G No 10th Street.",Daily,7PM to 5AM  (Gravity Supply)
1075,,Ulsoor,"Murphy Town, Sadashiva Muddaliar Road, Gang Man Quarters, Guptha Layout, Jayaranagar A to F Street, kuleme siddanna road, muniswamappa layout, M.V.Garden 1st to 14th Cross, Murphy Town Rama Temple Road and Cross Roads.",Alternate Days,9AM to 5PM  (Gravity Supply)
1076,,Johnson Market,"Shanthinagar, A.T.Halli, P.K.Colony, Barlie Street, Bangiyappa Garden, Eagle Street, Lakshmi Road 1st to 6th Cross, Langford Road, Moinvilla Road, Kingston Street.",,2AM to 1PM
1077,,,"Basappa Road, Swasthi Road, Andrew Road, Nanjappa Road, Lakshmi road, Double Road.",,4AM to 7AM
1078,,,"Vinayakanagar 2nd Main 1st cross to 7th cross, 1st Main, 7th Cross, 1st .C. Cross, 2nd .B. Cross, 1st .B. Cross, J.K.Pura.",,1PM to 10PM
1079,,,"L.R.Nagar 1st to 38th cross, Candel Mary Statue Road, Mico Factory, N.D.R.I, Hosur Road up to N.D.R.I, ",,10PM to 6AM
1080,,,"Vinayakanagar 1st Main, 1st cross to 9th cross, subbanna garden, mani Lane, Part of J.K.Pura, ",,7AM to 1PM
1081,,,"Neelsandra, Austin Town B.D.A, Ambedkarnagar, Samanthanagar, Rose Garden, Anepalya 1st Cross, Yarappa Garden, Austin Town, Abbaiah Garden.",,1PM to 10.30PM
1082,,,"Anepalya 1st to 15th Cross, Anepalya Main Road.",,12.30PM to 6AM
1083,,,"Anepalya  Uppar Part of 7th and 8th Cross, and 2nd .A. Cross.",,1PM to 3PM
1084,,CLR,"Ashok Nagar, Albrat Street , King Street,  Kanvet Road, Kyastala Street, Residency Road.",,5AM - 9AM
1085,,,"Bregade Road, Church Street, Rest House Road, M.G.Road, Musium Road, Residency Road.",,3PM - 9PM
1086,,,"Victoriya Layout, P.K.Quaters, Gasviyara Layout.",,2PM - 10.30PM
1087,,,"Y.G.Palya, Astin Town, Nimhans, South Street, Lindan Street.",,3.30PM - 10.30PM
1088,,,"Viveka Nagar, Extension Andra Colony, Mayabajara.",,3PM - 5PM
1089,,,"Sonnehalli, Vannapete Layout, Canara Bank, O Shakthi Temple, Muniyappa Garden, Abbayya Garden.",,5PM - 9PM
1090,,,"O.R.C. Road, Jayaraja Nagara.",,5PM - 9PM
1091,,,"Ayyappa Block, Ayyappa Temple, Rudrappa Garden, Maya Bajara.",,10.30PM - 1.30PM
1092,,Ejipura,"R.C.Road 13th Cross, 6th Cross, Ashwini Layout",,2AM - 4AM
1093,,,"V.G.S. Layout, 24th Cross, Sampangi Ramayya Road.",,4AM - 6AM
1094,,,"R.C.Road 1st and 2nd Cross, 21th Cross.",,6AM - 7AM
1095,,,"Shreenivagilu Main Road, 14th Cross, Holi Christ School.",,7AM - 9.30AM
1096,,,"Chandrareddy Layout, 20th Cross K.I.G.H.",,9.30AM - 11AM
1097,,,"20th C Cross, Andra Layout, 20th B Cross, A Cross.",,11AM - 12AM
1098,,,"Village, 19th Cross, Buchhappa Layout",,12PM - 2PM
1099,,,"Greepa Garden, Indira Garden, R.A.Road, Rangappa Garden, Opposite Peralyanda. ",,2PM - 3.30PM
1100,,DML,"Vinayak nagr B block, SR layout & rustum bhag,  Muniyappa layout, Ashok avenue ,  Wind tunnel road,  Murugesh pallia, Shamanna lane,  Kavery nagar & NR layout
","02days once supply.

",11PM - 5:30 AM
1101,,,"Sriram nigari, Syndicate bank lane, Konen agrahara, Shamappa lane(teacher), KR garden, Wind tunnel road (5th cross), NR Colony
",,11PM - 5:30 AM
1102,,,"Vinayak nagar A block, Murugesh Pallya, SR Layout, Rustum bhag, PR layout, Manjunath layout
",,11PM - 5:30 AM
1103,,,"Amarjyothi layout, Domlur layout, Kdihalli, Domlur 2nd stage
","Alternate day

","3:30 PM - 5:00AM
(9:30am  to 3:30pm leak  round)
"
1104,,,"Domlur village and Domlur BDA,  HAL 2nd Stage(16th,17th,18th Mains)
",,7:00AM - 1:00PM
1105,,,"Ganesha temple,Deepa nursing 
home,Krishna garden, Manjunath  layout,balaji layout,
Vinayak layout, Tulsi theatre road (1,2,3,4th)cross, Old gram tana, Ring road
","03 Days once
Marathahalli
",7:00PM - 02:00AM
1106,,,Chowdeshwari layout from 5th cross to kauvery layout 2nd cross,,7:00PM - 02:00AM
1107,,,Yamlur,"Weekly twice
(Wed & Sun)
(marathahalli bridge)
",7:00PM - 02:00AM
1108,SE - 2,Jeevanbhimanagar SS,Michael Palya 1st Main to 3rd Main,Alternate Days,4:00PM TO 6:00PM
1109,,,BM Kaval 1st Cross to 5th Cross,,6:00PM TO 8:00PM
1110,,,"Hanumanagara 1st Main to 4th Main Road, Bhoomi Reddy Colony ",,6:30AM TO 11:00AM
1111,,,"Seethappa Colony 8th,9th & 10th Main",,3:00PM TO 5:00PM
1112,,,Rahman Tea Stall Road ,,5:00PM TO 8:00PM
1113,,,Anjaneya Temple Road,,8:00PM TO 10:00PM
1114,,,6th main Annayappa garden,,8:30AM to 12:00PM
1115,,,"Venkateshwara colony 1st Cross,               2nd Cross, 3rd Cross & 4th Cross   ",,12:00PM TO 3:00PM
1116,,,"Saw Mill road, I st Cross to 4th Cross New Thippasandra Main Road",,3:00PM TO 9:00PM
1117,,,515 Colony,,10:00PM TO 5:00PM
1118,,,"KPWD Quarters, Thimma Reddy Colony & Om Shakthi Temple Road ",,2:00PM TO 7:00PM
1119,,,"LIC Colony 11th Cross, 9th Main,9th A Mian,9th B Main, 8th Main, 7th Main, 6th Main ",,4:00PM TO 10:00PM
1120,,,Eshwara Temple Road & JB Nagar Main Road,,7:00PM TO 10:00PM
1121,,,"Kodihalli 11th Main, 12th Main & 13th Main  ",,6:00PM to 10:00PM
1122,,,Miranda School,,10:00pmto 2:00am
1123,,,Kodihalli nal Compound ,,2:00AM TO 6:00AM
1124,,,"Kullappa Colony, Nanja Reddy Colony, Shivalingaiah Colony & Krishna Reddy Lane Anandapuram(Four days once) Sudhamanagar(Four Days Once) ",,9:00AM TO 1:00PM
1125,,,BDA Layout & Anadapura 8th Cross  ,,1:00PM TO 5:30PM
1126,SE - 2,HAL II Stage SS,Laksmipuram 18th A Cross To 21st Cross ,,5:00PM TO 5:00AM
1127,,,Indiranagar 1st stage 6th Cross to Doudle Road ,,11:00AM TO 2:00PM
1128,,,"Hutting Colony, Micheal Palya & Old Binnamangla",,2:00PM TO 5:00PM
1129,,,HAL 2nd stage 6th Main to 12th Main,,10:00AM TO 1:00PM
1130,,,Old Thippasandra,,10:00AM TO 1:00PM
1131,,,Defence Colony 6th Main to 1st Main ,,1:00PM TO 4:00PM
1132,,, HAL 2nd stage 12th main to 16th main ,,7:00AM TO 10:00AM
1133,,,Indiranagar 2nd stage behind BTS depot,,1:00AM TO 3:00AM
1134,,,Indiranagar 2nd stage behind BTS depot Upper Portion,,3:00AM TO 6:00AM
